HIGH	CVE-2025-48384	git	1:2.39.5-0+deb12u2	none	https://avd.aquasec.com/nvd/cve-2025-48384
HIGH	CVE-2025-48385	git	1:2.39.5-0+deb12u2	none	https://avd.aquasec.com/nvd/cve-2025-48385
HIGH	CVE-2025-48384	git-man	1:2.39.5-0+deb12u2	none	https://avd.aquasec.com/nvd/cve-2025-48384
HIGH	CVE-2025-48385	git-man	1:2.39.5-0+deb12u2	none	https://avd.aquasec.com/nvd/cve-2025-48385
HIGH	CVE-2025-4802	libc-bin	2.36-9+deb12u10	none	https://avd.aquasec.com/nvd/cve-2025-4802
HIGH	CVE-2025-4802	libc-dev-bin	2.36-9+deb12u10	none	https://avd.aquasec.com/nvd/cve-2025-4802
HIGH	CVE-2025-4802	libc6	2.36-9+deb12u10	none	https://avd.aquasec.com/nvd/cve-2025-4802
HIGH	CVE-2025-4802	libc6-dev	2.36-9+deb12u10	none	https://avd.aquasec.com/nvd/cve-2025-4802
HIGH	CVE-2023-52425	libexpat1	2.5.0-1+deb12u1	none	https://avd.aquasec.com/nvd/cve-2023-52425
HIGH	CVE-2024-8176	libexpat1	2.5.0-1+deb12u1	none	https://avd.aquasec.com/nvd/cve-2024-8176
HIGH	CVE-2025-32988	libgnutls30	3.7.9-2+deb12u4	3.7.9-2+deb12u5	https://avd.aquasec.com/nvd/cve-2025-32988
HIGH	CVE-2025-32990	libgnutls30	3.7.9-2+deb12u4	3.7.9-2+deb12u5	https://avd.aquasec.com/nvd/cve-2025-32990
HIGH	CVE-2023-2953	libldap-2.5-0	2.5.13+dfsg-5	none	https://avd.aquasec.com/nvd/cve-2023-2953
HIGH	CVE-2025-6020	libpam-modules	1.5.2-6+deb12u1	none	https://avd.aquasec.com/nvd/cve-2025-6020
HIGH	CVE-2025-6020	libpam-modules-bin	1.5.2-6+deb12u1	none	https://avd.aquasec.com/nvd/cve-2025-6020
HIGH	CVE-2025-6020	libpam-runtime	1.5.2-6+deb12u1	none	https://avd.aquasec.com/nvd/cve-2025-6020
HIGH	CVE-2025-6020	libpam0g	1.5.2-6+deb12u1	none	https://avd.aquasec.com/nvd/cve-2025-6020
HIGH	CVE-2023-31484	libperl5.36	5.36.0-7+deb12u2	none	https://avd.aquasec.com/nvd/cve-2023-31484
HIGH	CVE-2025-8194	libpython3.11-minimal	3.11.2-6+deb12u5	none	https://avd.aquasec.com/nvd/cve-2025-8194
HIGH	CVE-2025-8194	libpython3.11-stdlib	3.11.2-6+deb12u5	none	https://avd.aquasec.com/nvd/cve-2025-8194
CRITICAL	CVE-2025-6965	libsqlite3-0	3.40.1-2+deb12u1	none	https://avd.aquasec.com/nvd/cve-2025-6965
CRITICAL	CVE-2025-7458	libsqlite3-0	3.40.1-2+deb12u1	none	https://avd.aquasec.com/nvd/cve-2025-7458
HIGH	CVE-2013-7445	linux-libc-dev	6.1.147-1	none	https://avd.aquasec.com/nvd/cve-2013-7445
HIGH	CVE-2019-19449	linux-libc-dev	6.1.147-1	none	https://avd.aquasec.com/nvd/cve-2019-19449
HIGH	CVE-2019-19814	linux-libc-dev	6.1.147-1	none	https://avd.aquasec.com/nvd/cve-2019-19814
